Team,12,2,4,9,13,6,27,19,8,21,29,7,22,25,28,11,10,20,30,3,16,15,5,24,17,23,26,1,18,14
2,3-1,,4-0,3-1,3-0,1-2,2-0,2-0,2-1,1-1,1-1,2-2,1-1,1-1,2-0,1-2,2-2,2-0,0-2,3-1,2-0,3-1,3-1,2-0,2-0,2-0,1-1,2-2,1-1,1-3
4,3-1,0-4,,3-0,1-2,1-3,2-0,0-2,1-3,0-2,0-2,0-4,0-2,0-2,2-0,3-1,1-2,1-1,0-2,0-4,1-1,3-1,1-3,1-1,1-1,0-2,0-2,0-4,1-1,2-1
9,3-0,1-3,0-3,,3-1,0-4,2-0,0-2,1-3,0-2,0-2,1-3,0-2,0-2,2-0,1-3,2-2,1-1,0-2,3-1,0-2,4-0,1-2,0-2,0-2,0-2,0-2,0-4,1-1,1-2
13,4-0,0-3,2-1,1-3,,0-3,1-1,1-1,2-1,1-1,0-2,2-2,1-1,1-1,2-0,0-4,2-2,1-1,0-2,2-2,1-1,4-0,0-4,2-0,0-2,2-0,0-2,0-4,1-1,3-1
6,3-1,2-1,3-1,4-0,3-0,,2-0,1-1,3-1,0-2,0-2,1-3,1-1,1-1,2-0,2-1,3-1,1-1,1-1,2-2,1-1,2-2,2-2,2-0,1-1,1-1,0-2,2-1,1-1,3-1
27,0-2,0-2,0-2,0-2,1-1,0-2,,2-2,1-1,0-4,0-4,2-0,1-2,1-3,3-1,0-2,1-1,0-4,1-3,1-1,2-2,1-1,0-2,0-3,1-2,2-2,1-3,1-1,0-3,2-0
19,1-1,0-2,2-0,2-0,1-1,1-1,2-2,,2-0,2-2,0-3,1-1,1-2,2-2,3-1,1-1,2-0,1-3,2-1,1-1,3-1,2-0,0-2,2-1,3-1,3-1,2-2,1-1,2-2,1-1
8,3-1,1-2,3-1,3-1,1-2,1-3,1-1,0-2,,1-1,1-1,3-1,1-1,1-1,1-1,2-2,2-2,2-0,0-2,3-0,1-1,1-2,0-4,2-0,1-1,2-0,1-1,0-4,0-2,1-3
21,2-0,1-1,2-0,2-0,1-1,2-0,4-0,2-2,1-1,,1-2,0-2,3-1,4-0,2-1,2-0,1-1,2-1,3-1,2-0,2-2,2-0,2-0,4-0,1-2,2-2,3-1,2-0,1-3,2-0
29,2-0,1-1,2-0,2-0,2-0,2-0,4-0,3-0,1-1,2-1,,2-0,2-2,3-1,2-2,2-0,2-0,4-0,3-1,2-0,1-2,2-0,1-1,4-0,4-0,2-1,3-1,0-2,4-0,1-1
7,3-1,2-2,4-0,3-1,2-2,3-1,0-2,1-1,1-3,2-0,0-2,,2-0,1-1,2-0,2-2,3-1,1-1,0-2,2-1,0-2,3-0,2-1,2-0,0-2,2-0,2-0,1-3,1-1,1-2
22,2-0,1-1,2-0,2-0,1-1,1-1,2-1,2-1,1-1,1-3,2-2,0-2,,3-1,2-2,0-2,2-0,0-4,1-3,1-1,0-3,2-0,0-2,4-0,1-3,4-0,1-2,2-0,1-3,1-1
25,2-0,1-1,2-0,2-0,1-1,1-1,3-1,2-2,1-1,0-4,1-3,1-1,1-3,,2-2,1-1,0-2,0-4,0-3,1-1,2-2,1-1,1-1,3-1,0-3,2-2,3-0,0-2,0-3,1-1
28,1-1,0-2,0-2,0-2,0-2,0-2,1-3,1-3,1-1,1-2,2-2,0-2,2-2,2-2,,0-2,0-2,2-1,2-2,1-1,0-4,0-2,1-1,1-3,2-2,2-1,0-4,0-2,0-3,0-2
11,3-1,2-1,1-3,3-1,4-0,1-2,2-0,1-1,2-2,0-2,0-2,2-2,2-0,1-1,2-0,,3-0,1-1,0-2,2-2,0-2,2-2,2-2,2-0,0-2,0-2,0-2,2-1,2-0,2-2
10,3-0,2-2,2-1,2-2,2-2,1-3,1-1,0-2,2-2,1-1,0-2,1-3,0-2,2-0,2-0,0-3,,1-1,0-2,4-0,1-1,3-1,2-2,2-0,2-0,2-0,2-0,1-2,1-1,2-2
20,1-1,0-2,1-1,1-1,1-1,1-1,4-0,3-1,0-2,1-2,0-4,1-1,4-0,4-0,1-2,1-1,1-1,,4-0,2-0,3-1,1-1,0-2,2-2,2-2,3-0,1-2,1-1,2-2,1-1
30,1-1,2-0,2-0,2-0,2-0,1-1,3-1,1-2,2-0,1-3,1-3,2-0,3-1,3-0,2-2,2-0,2-0,0-4,,1-1,2-1,1-1,1-1,3-0,2-2,2-2,3-1,0-2,1-3,0-2
3,1-2,1-3,4-0,1-3,2-2,2-2,1-1,1-1,0-3,0-2,0-2,1-2,1-1,1-1,1-1,2-2,0-4,0-2,1-1,,1-1,1-3,0-4,2-0,0-2,1-1,0-2,1-3,2-0,1-2
16,2-0,0-2,1-1,2-0,1-1,1-1,2-2,1-3,1-1,2-2,2-1,2-0,3-0,2-2,4-0,2-0,1-1,1-3,1-2,1-1,,1-1,2-0,2-1,0-4,3-1,2-2,2-0,3-1,1-1
15,2-2,1-3,1-3,0-4,0-4,2-2,1-1,0-2,2-1,0-2,0-2,0-3,0-2,1-1,2-0,2-2,1-3,1-1,1-1,3-1,1-1,,0-3,2-0,0-2,0-2,1-1,0-3,0-2,1-3
5,3-0,1-3,3-1,2-1,4-0,2-2,2-0,2-0,4-0,0-2,1-1,1-2,2-0,1-1,1-1,2-2,2-2,2-0,1-1,4-0,0-2,3-0,,1-1,1-1,0-2,2-0,1-3,2-0,2-2
24,1-1,0-2,1-1,2-0,0-2,0-2,3-0,1-2,0-2,0-4,0-4,0-2,0-4,1-3,3-1,0-2,0-2,2-2,0-3,0-2,1-2,0-2,1-1,,0-4,3-1,0-4,0-2,1-3,1-1
17,1-1,0-2,1-1,2-0,2-0,1-1,2-1,1-3,1-1,2-1,0-4,2-0,3-1,3-0,2-2,2-0,0-2,2-2,2-2,2-0,4-0,2-0,1-1,4-0,,3-1,1-2,0-2,2-2,1-1
23,1-1,0-2,2-0,2-0,0-2,1-1,2-2,1-3,0-2,2-2,1-2,0-2,0-4,2-2,1-2,2-0,0-2,0-3,2-2,1-1,1-3,2-0,2-0,1-3,1-3,,0-4,0-2,0-3,0-2
26,1-1,1-1,2-0,2-0,2-0,2-0,3-1,2-2,1-1,1-3,1-3,0-2,2-1,0-3,4-0,2-0,0-2,2-1,1-3,2-0,2-2,1-1,0-2,4-0,2-1,4-0,,1-1,1-3,1-1
1,4-0,2-2,4-0,4-0,4-0,1-2,1-1,1-1,4-0,0-2,2-0,3-1,0-2,2-0,2-0,1-2,2-1,1-1,2-0,3-1,0-2,3-0,3-1,2-0,2-0,2-0,1-1,,1-1,2-2
18,0-2,1-1,1-1,1-1,1-1,1-1,3-0,2-2,2-0,3-1,0-4,1-1,3-1,3-0,3-0,0-2,1-1,2-2,3-1,0-2,1-3,2-0,0-2,3-1,2-2,3-0,3-1,1-1,,2-0
14,2-2,3-1,1-2,2-1,1-3,1-3,0-2,1-1,3-1,0-2,1-1,2-1,1-1,1-1,2-0,2-2,2-2,1-1,2-0,2-1,1-1,3-1,2-2,1-1,1-1,2-0,1-1,2-2,0-2,
